epoch,train_loss,train_acc,train_auc,train_prauc,val_loss,val_acc,val_auc,val_prauc,val_sens,val_spec,learning_rate,status
46,0.186175,0.8206,0.9161,0.9584,0.178147,0.7143,0.9481,0.9720,0.5556,1.0000,3.91e-07,NO_IMPROVE
47,0.191983,0.8265,0.9132,0.9562,0.179195,0.7143,0.9481,0.9720,0.5556,1.0000,3.91e-07,NO_IMPROVE
48,0.181516,0.8118,0.9206,0.9590,0.179692,0.7143,0.9481,0.9720,0.5556,1.0000,3.91e-07,NO_IMPROVE
49,0.184270,0.8294,0.9200,0.9580,0.179503,0.7143,0.9481,0.9720,0.5556,1.0000,3.91e-07,NO_IMPROVE
50,0.177058,0.8059,0.9251,0.9608,0.179515,0.7143,0.9481,0.9720,0.5556,1.0000,3.91e-07,NO_IMPROVE
51,0.187488,0.7971,0.9110,0.9547,0.178418,0.7143,0.9481,0.9720,0.5556,1.0000,3.91e-07,NO_IMPROVE
52,0.177735,0.7882,0.9222,0.9599,0.178949,0.7143,0.9481,0.9720,0.5556,1.0000,1.95e-07,NO_IMPROVE
53,0.184143,0.8059,0.9206,0.9579,0.178753,0.7143,0.9481,0.9720,0.5556,1.0000,1.95e-07,NO_IMPROVE
54,0.182428,0.7912,0.9170,0.9573,0.178879,0.7143,0.9481,0.9720,0.5556,1.0000,1.95e-07,NO_IMPROVE
55,0.178934,0.8059,0.9221,0.9602,0.178760,0.7143,0.9481,0.9720,0.5556,1.0000,1.95e-07,NO_IMPROVE
56,0.182244,0.8147,0.9160,0.9572,0.178554,0.7143,0.9481,0.9720,0.5556,1.0000,1.95e-07,NO_IMPROVE
